Month,United States : all fuels (utility-scale) thousand megawatthours,United States : coal thousand megawatthours,United States : natural gas thousand megawatthours,United States : nuclear thousand megawatthours,United States : conventional hydroelectric thousand megawatthours,United States : wind thousand megawatthours,United States : all solar thousand megawatthours
Jun-04,345085.0788,167641.9063,64685.66904,67734.073,25252.34503,1397.20574,
May-04,327380.2636,157016.3772,62021.80807,64917.412,24019.71812,1701.65148,
Apr-04,290559.9142,141470.9562,51821.98826,58620.255,20887.97481,1294.8568,
Mar-04,308812.0955,154288.4192,49801.1869,63285.116,22914.28123,1291.224,
Feb-04,314279.9095,161503.0922,50319.87478,64101.949,20913.61671,1021.56897,
Jan-04,346545.627,180657.4205,48253.37213,70806.16,22983.30588,999.44521,
Dec-03,331680.43,176291.473,44034.895,68611.699,24044.33,1104.881,
Nov-03,297866.711,158223.194,45327.919,59600.02,19715.265,961.432,
Oct-03,306740.933,159322.942,51824.169,60016.207,18428.423,897.161,
Sep-03,323135.534,164910.002,59089.943,63583.645,18480.455,895.054,
Aug-03,381816.319,185331.823,83249.694,69023.878,22972.03,815.429,
Jul-03,374396.05,181852.318,76938.278,69652.754,24843.095,953.396,
Jun-03,328693.698,162284.63,54452.951,64180.727,28586.3,1047.144,
May-03,307544.887,150262.977,49372.963,62201.96,29395.256,1006.383,
Apr-03,285755.699,141959.981,45195.383,56775.591,24758.962,1092.766,
Mar-03,304317.265,155001.775,46699.026,59933.261,24202.273,1036.104,
Feb-03,299248.777,156982.481,43546.573,60941.869,19779.86,745.375,
Jan-03,341988.901,181313.153,50175.746,69211.084,20600.079,632.34,
Dec-02,324833.705,172189.765,46100.393,68905.472,21668.54,755.194,
Nov-02,296289.561,156053.655,45160.876,61520.324,19730.029,655.946,
Oct-02,307059.46,159099.294,54200.82,60493.052,17171.334,734.355,
Sep-02,331279.434,165366.309,68161.131,64480.79,17086.782,735.828,
Aug-02,374585.819,179955.447,84476.867,70777.688,21083.924,976.691,
Jul-02,381542.107,183194.702,83917.269,70420.827,25470.647,890.455,
Jun-02,341023.144,164667.695,65631.018,66371.896,28212.847,1126.315,
May-02,307674.569,151406.401,50275.237,63032.192,26662.695,1077.641,
Apr-02,289848.253,142304.595,49146.409,58437.062,24246.605,1024.417,
Mar-02,302549.011,151485.651,51214.464,63040.647,21008.813,852.102,
Feb-02,281825.712,143048.822,44308.431,61658.274,20191.683,713.932,
Jan-02,319941.476,164358.018,48412.832,70925.863,21794.932,811.402,
Dec-01,305496.328,157402.35,47540.861,67430.878,19346.314,615.657,
Nov-01,278933.942,144116.998,44490.622,62341.711,15412.929,470.448,
Oct-01,294733.613,148930.816,56376.441,60460.967,15234.503,606.829,
Sep-01,306928.866,154158.317,60181.14,63378.451,15256.027,490.229,
Aug-01,370532.828,183116.073,78409.804,68389.496,18913.768,577.206,
Jul-01,357613.7,179060.41,73030.142,69166.04,18079.119,634.992,
Jun-01,327693.978,162615.804,57603.154,68023.098,20727.63,669.634,
May-01,300491.621,151592.914,50934.205,61512.445,19175.635,635.029,
Apr-01,278078.871,140670.654,45842.746,56003.026,18012.994,684.695,
Mar-01,300706.544,155269.011,44364.414,62140.712,20477.189,532.12,
Feb-01,282940.198,149735.484,37966.927,61272.407,17472.889,431.242,
Jan-01,332493.16,177287.111,42388.663,68707.077,18852.048,389.25, 
